Index,EscalaRelativa,ProfundidadeEstimada
0,1.000000,0.000000
1,1.002628,-0.262809
2,1.005975,-0.597508
3,1.007778,-0.777762
4,1.010170,-1.016978
5,1.011616,-1.161616
6,1.012893,-1.289289
7,1.016219,-1.621873
8,1.018937,-1.893668
9,1.022693,-2.269268
10,1.025812,-2.581150
11,1.028781,-2.878134
12,1.030773,-3.077302
13,1.033209,-3.320944
14,1.033997,-3.399673
15,1.034031,-3.403149
16,1.034107,-3.410705
17,1.034168,-3.416758
18,1.038637,-3.863743
19,1.039273,-3.927310
20,1.039307,-3.930692
21,1.039295,-3.929522
22,1.039325,-3.932459
23,1.039335,-3.933499
24,1.042590,-4.259045
25,1.042533,-4.253285
26,1.042534,-4.253384
27,1.047493,-4.749300
28,1.058296,-5.829599
29,1.064487,-6.448735
30,1.064031,-6.403052
31,1.075681,-7.568086
32,1.084197,-8.419721
33,1.097696,-9.769560
34,1.098737,-9.873693
35,1.098805,-9.880544
36,1.101043,-10.104286
37,1.102141,-10.214066
38,1.103739,-10.373858
39,1.105563,-10.556313
40,1.105832,-10.583199
41,1.105838,-10.583819
42,1.105868,-10.586773
43,1.105852,-10.585212
44,1.105830,-10.582977
45,1.112713,-11.271286
46,1.118262,-11.826158
47,1.122280,-12.228027
48,1.123600,-12.359997
49,1.131373,-13.137297
50,1.132313,-13.231263
51,1.143798,-14.379770
52,1.151742,-15.174153
53,1.158390,-15.838968
54,1.164746,-16.474585
55,1.174075,-17.407521
56,1.182938,-18.293813
57,1.191724,-19.172433
58,1.197760,-19.775983
59,1.203998,-20.399754
60,1.204272,-20.427246
61,1.211296,-21.129633
62,1.217711,-21.771059
