imagens,escalas,escalas_acumuladas
0,1.0,1.0
1,1.0,1.0
2,1.0008016032064129,1.0008016032064129
3,1.0004008016032064,1.0012027260934695
4,1.0004008016032064,1.0016040097512224
5,1.0008016032064129,1.002406898736995
6,1.0004008016032064,1.002808665029074
7,1.0004008016032064,1.003210592349727
8,1.0004008016032064,1.0036126807634944
9,1.0004008016032064,1.0040149303349428
10,1.0004008016032064,1.0044173411286643
11,1.0004008016032064,1.004819913209277
12,1.0004008016032064,1.0052226466414251
13,1.0004008016032064,1.0056255414897783
14,1.0004008016032064,1.0060285978190329
15,1.0004008016032064,1.0064318156939103
16,1.0008016032064129,1.0072385746644064
17,1.0004008016032064,1.0076422774999432
18,1.0008016032064129,1.0084500067805042
19,1.0004008016032064,1.0088541951599754
20,1.0008016032064129,1.0096628959176188
21,1.0008016032064129,1.0104722449323824
22,1.0008016032064129,1.0112822427239114
23,1.0008016032064129,1.0120928898122674
24,1.0012024048096193,1.0133098351707592
25,1.0012024048096193,1.014528243790203
26,1.0008016032064129,1.0153414928834217
27,1.0008016032064129,1.016155393879721
28,1.0004008016032064,1.016562670590695
29,1.0008016032064129,1.01737755048696
