imagens,escalas acumuladas
0,1.0
1,1.0008016032064129
2,1.0016038489805263
3,1.0020052934089754
4,1.002406898736995
5,1.002808665029074
6,1.003210592349727
7,1.0036126807634944
8,1.004417179906391
9,1.0048197519223856
10,1.0052224852898897
11,1.0060282748572564
12,1.006834710348124
13,1.007641792280267
14,1.0084495211718745
15,1.0092578975415514
16,1.0100669219083183
17,1.0108765947916116
18,1.011281755751448
19,1.012092402449445
20,1.0129036989644347
21,1.013715645817312
22,1.01452824352939
23,1.0153414926223996
24,1.0161553936184897
25,1.016969947040228
26,1.017785153410601
27,1.0186010132530143
28,1.0190092701721538
29,1.0198261112704883
30,1.0206436071512663
31,1.021052682745315
32,1.0214619222975176
33,1.0214619222975176
34,1.02228072944966
35,1.0226904612049506
36,1.0231003571813855
37,1.0239204777081843
38,1.0243308666772055
39,1.0247414201307836
40,1.025152138134844
41,1.025563020755339
42,1.025974068058247
43,1.026385280109573
44,1.0267966569753484
45,1.027208198721631
46,1.0276199054145054
47,1.0280317771200824
48,1.0288558506889163
49,1.0292682177633408
50,1.0300932824669586
51,1.0305061455060236
52,1.0313322025364895
53,1.0321589217369196
54,1.0329863036381115
55,1.0338143487712883
56,1.0350574121165044
57,1.0363019701270653
58,1.037132673109131
59,1.0379640419853708
60,1.0383800596374693
61,1.0392124284227497
62,1.0400454644375174
