imagens,escalas
0,1.0
1,1.0008016032064129
2,1.0008016032064129
3,1.0004008016032064
4,1.0004008016032064
5,1.0004008016032064
6,1.0004008016032064
7,1.0004008016032064
8,1.0008016032064129
9,1.0004008016032064
10,1.0004008016032064
11,1.0008016032064129
12,1.0008016032064129
13,1.0008016032064129
14,1.0008016032064129
15,1.0008016032064129
16,1.0008016032064129
17,1.0008016032064129
18,1.0004008016032064
19,1.0008016032064129
20,1.0008016032064129
21,1.0008016032064129
22,1.0008016032064129
23,1.0008016032064129
24,1.0008016032064129
25,1.0008016032064129
26,1.0008016032064129
27,1.0008016032064129
28,1.0004008016032064
29,1.0008016032064129
30,1.0008016032064129
31,1.0004008016032064
32,1.0004008016032064
33,1.0
34,1.0008016032064129
35,1.0004008016032064
36,1.0004008016032064
37,1.0008016032064129
38,1.0004008016032064
39,1.0004008016032064
40,1.0004008016032064
41,1.0004008016032064
42,1.0004008016032064
43,1.0004008016032064
44,1.0004008016032064
45,1.0004008016032064
46,1.0004008016032064
47,1.0004008016032064
48,1.0008016032064129
49,1.0004008016032064
50,1.0008016032064129
51,1.0004008016032064
52,1.0008016032064129
53,1.0008016032064129
54,1.0008016032064129
55,1.0008016032064129
56,1.0012024048096193
57,1.0012024048096193
58,1.0008016032064129
59,1.0008016032064129
60,1.0004008016032064
61,1.0008016032064129
62,1.0008016032064129
